figure,figure_group,domain,metric,condition,condition_label,n,mean,se,sd,median,min,max
tomato_fatigue.png,tomato_fatigue,Tomato,Fatigue,C1,All,12,2.83333,0.457817,1.58592,2.5,1,5
tomato_fatigue.png,tomato_fatigue,Tomato,Fatigue,C2,No,12,2.16667,0.321769,1.11464,2,1,5
tomato_fatigue.png,tomato_fatigue,Tomato,Fatigue,C5,KnowNo,12,2.91667,0.499368,1.72986,2.5,1,6
tomato_fatigue.png,tomato_fatigue,Tomato,Fatigue,C3,Ours1,12,3,0.476731,1.65145,2,1,5
tomato_fatigue.png,tomato_fatigue,Tomato,Fatigue,C4,Ours2,12,2.58333,0.35799,1.24011,3,1,5
tomato_nasa_rtlx.png,tomato_nasa_rtlx,Tomato,NASA-RTLX,C1,All,12,2.20833,0.24198,0.838243,2.16667,1.16667,4.5
tomato_nasa_rtlx.png,tomato_nasa_rtlx,Tomato,NASA-RTLX,C2,No,12,1.72222,0.186151,0.644845,1.5,1,3.16667
tomato_nasa_rtlx.png,tomato_nasa_rtlx,Tomato,NASA-RTLX,C5,KnowNo,12,1.80556,0.168966,0.585314,1.75,1,3.33333
tomato_nasa_rtlx.png,tomato_nasa_rtlx,Tomato,NASA-RTLX,C3,Ours1,12,1.88889,0.196061,0.679176,1.83333,1,3.66667
tomato_nasa_rtlx.png,tomato_nasa_rtlx,Tomato,NASA-RTLX,C4,Ours2,12,1.80556,0.146269,0.506689,1.83333,1,2.66667
tomato_operation_time.png,tomato_operation_time,Tomato,조작시간 (s),C1,All,12,33.5,2.58639,8.9595,32.5,15,51
tomato_operation_time.png,tomato_operation_time,Tomato,조작시간 (s),C5,KnowNo,12,21.9167,4.55515,15.7795,18,5,60
tomato_operation_time.png,tomato_operation_time,Tomato,조작시간 (s),C3,Ours1,11,25.8182,6.19944,20.5612,18,6,80
tomato_operation_time.png,tomato_operation_time,Tomato,조작시간 (s),C4,Ours2,12,15.3333,2.10819,7.30297,13.5,3,30
tomato_sagat1.png,tomato_sagat1,Tomato,SAGAT1,C1,All,12,0.875,0.0652791,0.226134,1,0.5,1
tomato_sagat1.png,tomato_sagat1,Tomato,SAGAT1,C2,No,12,0.75,0.0753778,0.261116,0.75,0.5,1
tomato_sagat1.png,tomato_sagat1,Tomato,SAGAT1,C5,KnowNo,12,0.625,0.0652791,0.226134,0.5,0.5,1
tomato_sagat1.png,tomato_sagat1,Tomato,SAGAT1,C3,Ours1,12,0.625,0.0652791,0.226134,0.5,0.5,1
tomato_sagat1.png,tomato_sagat1,Tomato,SAGAT1,C4,Ours2,12,0.666667,0.0710669,0.246183,0.5,0.5,1
tomato_sagat2.png,tomato_sagat2,Tomato,SAGAT2,C1,All,12,0.458333,0.096498,0.334279,0.5,0,1
tomato_sagat2.png,tomato_sagat2,Tomato,SAGAT2,C2,No,12,0.291667,0.096498,0.334279,0.25,0,1
tomato_sagat2.png,tomato_sagat2,Tomato,SAGAT2,C5,KnowNo,12,0.5,0.0870388,0.301511,0.5,0,1
tomato_sagat2.png,tomato_sagat2,Tomato,SAGAT2,C3,Ours1,12,0.416667,0.0833333,0.288675,0.5,0,1
tomato_sagat2.png,tomato_sagat2,Tomato,SAGAT2,C4,Ours2,12,0.458333,0.129952,0.450168,0.5,0,1
tomato_sagat3.png,tomato_sagat3,Tomato,SAGAT3,C1,All,12,0.708333,0.096498,0.334279,0.75,0,1
tomato_sagat3.png,tomato_sagat3,Tomato,SAGAT3,C2,No,12,0.833333,0.0940127,0.325669,1,0,1
tomato_sagat3.png,tomato_sagat3,Tomato,SAGAT3,C5,KnowNo,12,0.625,0.0652791,0.226134,0.5,0.5,1
tomato_sagat3.png,tomato_sagat3,Tomato,SAGAT3,C3,Ours1,12,0.833333,0.0710669,0.246183,1,0.5,1
tomato_sagat3.png,tomato_sagat3,Tomato,SAGAT3,C4,Ours2,12,0.958333,0.0416667,0.144338,1,0.5,1
tomato_sart.png,tomato_sart,Tomato,SART,C1,All,12,3.25833,0.250895,0.869125,3.25,1.7,4.4
tomato_sart.png,tomato_sart,Tomato,SART,C2,No,12,3.19167,0.147945,0.512495,3.2,2,4
tomato_sart.png,tomato_sart,Tomato,SART,C5,KnowNo,12,3.01667,0.23479,0.813336,3.3,1.4,3.8
tomato_sart.png,tomato_sart,Tomato,SART,C3,Ours1,12,3.1,0.237729,0.823518,3.35,1.7,4.2
tomato_sart.png,tomato_sart,Tomato,SART,C4,Ours2,12,3.05833,0.166268,0.575971,3.1,2,4.1
tomato_task_success.png,tomato_task_success,Tomato,조작성공률 (%),C1,All,12,66.6667,14.2134,49.2366,100,0,100
tomato_task_success.png,tomato_task_success,Tomato,조작성공률 (%),C5,KnowNo,12,100,0,0,100,100,100
tomato_task_success.png,tomato_task_success,Tomato,조작성공률 (%),C3,Ours1,12,75,13.0558,45.2267,100,0,100
tomato_task_success.png,tomato_task_success,Tomato,조작성공률 (%),C4,Ours2,12,75,13.0558,45.2267,100,0,100
waste_fatigue.png,waste_fatigue,Waste,Fatigue,C1,All,12,2.66667,0.512471,1.77525,2,1,6
waste_fatigue.png,waste_fatigue,Waste,Fatigue,C2,No,12,2.58333,0.499368,1.72986,2,1,6
waste_fatigue.png,waste_fatigue,Waste,Fatigue,C5,KnowNo,12,3.25,0.445941,1.54479,3,1,6
waste_fatigue.png,waste_fatigue,Waste,Fatigue,C3,Ours1,12,3.08333,0.468045,1.62135,3,1,5
waste_fatigue.png,waste_fatigue,Waste,Fatigue,C4,Ours2,12,2.75,0.494286,1.71226,2,1,5
waste_nasa_rtlx.png,waste_nasa_rtlx,Waste,NASA-RTLX,C1,All,12,2.05556,0.236,0.817526,2,1,4
waste_nasa_rtlx.png,waste_nasa_rtlx,Waste,NASA-RTLX,C2,No,12,1.65278,0.159516,0.55258,1.66667,1,2.5
waste_nasa_rtlx.png,waste_nasa_rtlx,Waste,NASA-RTLX,C5,KnowNo,12,2.54167,0.287305,0.995255,2.5,1,4.16667
waste_nasa_rtlx.png,waste_nasa_rtlx,Waste,NASA-RTLX,C3,Ours1,12,2.26389,0.280886,0.973016,1.91667,1,4
waste_nasa_rtlx.png,waste_nasa_rtlx,Waste,NASA-RTLX,C4,Ours2,12,1.88889,0.212541,0.736265,1.75,1,3.5
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C1,All,12,28.75,5.03341,17.4362,27.5,13,79
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C5,KnowNo,12,27.0833,4.45764,15.4417,23.5,13,66
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C3,Ours1,12,9.83333,1.33049,4.60895,9.5,3,18
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C4,Ours2,12,9.83333,1.02124,3.53768,9.5,5,18
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C1,All,12,0.916667,0.0561833,0.194625,1,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C2,No,12,0.958333,0.0416667,0.144338,1,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C5,KnowNo,12,0.75,0.0753778,0.261116,0.75,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C3,Ours1,12,0.791667,0.096498,0.334279,1,0,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C4,Ours2,12,0.875,0.0652791,0.226134,1,0.5,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C1,All,12,0.375,0.125,0.433013,0.25,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C2,No,12,0.25,0.115142,0.398862,0,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C5,KnowNo,12,0.458333,0.129952,0.450168,0.5,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C3,Ours1,12,0.625,0.0652791,0.226134,0.5,0.5,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C4,Ours2,12,0.0833333,0.0561833,0.194625,0,0,0.5
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C1,All,12,0.375,0.0652791,0.226134,0.5,0,0.5
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C2,No,12,0.791667,0.096498,0.334279,1,0,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C5,KnowNo,12,0.583333,0.1205,0.417424,0.5,0,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C3,Ours1,12,0.75,0.0753778,0.261116,0.75,0.5,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C4,Ours2,12,0.625,0.0897176,0.310791,0.5,0,1
waste_sart.png,waste_sart,Waste,SART,C1,All,12,3.10833,0.211581,0.732937,3.3,1.6,4.2
waste_sart.png,waste_sart,Waste,SART,C2,No,12,3.39167,0.186051,0.644499,3.35,2.2,4.4
waste_sart.png,waste_sart,Waste,SART,C5,KnowNo,12,3.35,0.234359,0.811844,3.4,1.8,4.3
waste_sart.png,waste_sart,Waste,SART,C3,Ours1,12,3.40833,0.177721,0.615642,3.6,2,4.1
waste_sart.png,waste_sart,Waste,SART,C4,Ours2,12,3.21667,0.185796,0.643617,3.4,1.8,3.9
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C1,All,12,91.6667,8.33333,28.8675,100,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C5,KnowNo,12,8.33333,8.33333,28.8675,0,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C3,Ours1,12,91.6667,8.33333,28.8675,100,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C4,Ours2,12,100,0,0,100,100,100
