domain,metric,condition,condition_short,n,mean,sd,se
Waste,조작성공률 (%),C1: All,C1,12,91.6667,28.8675,8.33333
Waste,조작성공률 (%),C2: No,C2,0,nan,nan,nan
Waste,조작성공률 (%),C3: Ours1,C3,12,91.6667,28.8675,8.33333
Waste,조작성공률 (%),C4: Ours2,C4,12,100,0,0
Waste,조작성공률 (%),C5: KnowNo,C5,12,8.33333,28.8675,8.33333
Waste,조작시간 (s),C1: All,C1,9,30,20.0998,6.69992
Waste,조작시간 (s),C2: No,C2,0,nan,nan,nan
Waste,조작시간 (s),C3: Ours1,C3,9,11.2222,4.26549,1.42183
Waste,조작시간 (s),C4: Ours2,C4,9,10,3.84057,1.28019
Waste,조작시간 (s),C5: KnowNo,C5,9,29.2222,17.1667,5.72222
Waste,SAGAT1,C1: All,C1,12,0.916667,0.194625,0.0561833
Waste,SAGAT1,C2: No,C2,12,0.958333,0.144338,0.0416667
Waste,SAGAT1,C3: Ours1,C3,12,0.791667,0.334279,0.096498
Waste,SAGAT1,C4: Ours2,C4,12,0.875,0.226134,0.0652791
Waste,SAGAT1,C5: KnowNo,C5,12,0.75,0.261116,0.0753778
Waste,SAGAT2,C1: All,C1,12,0.375,0.433013,0.125
Waste,SAGAT2,C2: No,C2,12,0.25,0.398862,0.115142
Waste,SAGAT2,C3: Ours1,C3,12,0.625,0.226134,0.0652791
Waste,SAGAT2,C4: Ours2,C4,12,0.0833333,0.194625,0.0561833
Waste,SAGAT2,C5: KnowNo,C5,12,0.458333,0.450168,0.129952
Waste,SAGAT3,C1: All,C1,12,0.375,0.226134,0.0652791
Waste,SAGAT3,C2: No,C2,12,0.791667,0.334279,0.096498
Waste,SAGAT3,C3: Ours1,C3,12,0.75,0.261116,0.0753778
Waste,SAGAT3,C4: Ours2,C4,12,0.625,0.310791,0.0897176
Waste,SAGAT3,C5: KnowNo,C5,12,0.583333,0.417424,0.1205
Waste,Fatigue,C1: All,C1,12,2.66667,1.77525,0.512471
Waste,Fatigue,C2: No,C2,12,2.58333,1.72986,0.499368
Waste,Fatigue,C3: Ours1,C3,12,3.08333,1.62135,0.468045
Waste,Fatigue,C4: Ours2,C4,12,2.75,1.71226,0.494286
Waste,Fatigue,C5: KnowNo,C5,12,3.25,1.54479,0.445941
Waste,NASA-RTLX,C1: All,C1,12,2.05556,0.817526,0.236
Waste,NASA-RTLX,C2: No,C2,12,1.65278,0.55258,0.159516
Waste,NASA-RTLX,C3: Ours1,C3,12,2.26389,0.973016,0.280886
Waste,NASA-RTLX,C4: Ours2,C4,12,1.88889,0.736265,0.212541
Waste,NASA-RTLX,C5: KnowNo,C5,12,2.54167,0.995255,0.287305
Waste,SART,C1: All,C1,12,3.10833,0.732937,0.211581
Waste,SART,C2: No,C2,12,3.39167,0.644499,0.186051
Waste,SART,C3: Ours1,C3,12,3.40833,0.615642,0.177721
Waste,SART,C4: Ours2,C4,12,3.21667,0.643617,0.185796
Waste,SART,C5: KnowNo,C5,12,3.35,0.811844,0.234359
Tomato,조작성공률 (%),C1: All,C1,12,66.6667,49.2366,14.2134
Tomato,조작성공률 (%),C2: No,C2,0,nan,nan,nan
Tomato,조작성공률 (%),C3: Ours1,C3,12,75,45.2267,13.0558
Tomato,조작성공률 (%),C4: Ours2,C4,12,75,45.2267,13.0558
Tomato,조작성공률 (%),C5: KnowNo,C5,12,100,0,0
Tomato,조작시간 (s),C1: All,C1,9,35.2222,9.66667,3.22222
Tomato,조작시간 (s),C2: No,C2,0,nan,nan,nan
Tomato,조작시간 (s),C3: Ours1,C3,9,21.4444,10.6079,3.53597
Tomato,조작시간 (s),C4: Ours2,C4,9,17.5556,6.67291,2.2243
Tomato,조작시간 (s),C5: KnowNo,C5,9,25.8889,16.2822,5.42741
Tomato,SAGAT1,C1: All,C1,12,0.875,0.226134,0.0652791
Tomato,SAGAT1,C2: No,C2,12,0.75,0.261116,0.0753778
Tomato,SAGAT1,C3: Ours1,C3,12,0.625,0.226134,0.0652791
Tomato,SAGAT1,C4: Ours2,C4,12,0.666667,0.246183,0.0710669
Tomato,SAGAT1,C5: KnowNo,C5,12,0.625,0.226134,0.0652791
Tomato,SAGAT2,C1: All,C1,12,0.458333,0.334279,0.096498
Tomato,SAGAT2,C2: No,C2,12,0.291667,0.334279,0.096498
Tomato,SAGAT2,C3: Ours1,C3,12,0.416667,0.288675,0.0833333
Tomato,SAGAT2,C4: Ours2,C4,12,0.458333,0.450168,0.129952
Tomato,SAGAT2,C5: KnowNo,C5,12,0.5,0.301511,0.0870388
Tomato,SAGAT3,C1: All,C1,12,0.708333,0.334279,0.096498
Tomato,SAGAT3,C2: No,C2,12,0.833333,0.325669,0.0940127
Tomato,SAGAT3,C3: Ours1,C3,12,0.833333,0.246183,0.0710669
Tomato,SAGAT3,C4: Ours2,C4,12,0.958333,0.144338,0.0416667
Tomato,SAGAT3,C5: KnowNo,C5,12,0.625,0.226134,0.0652791
Tomato,Fatigue,C1: All,C1,12,2.83333,1.58592,0.457817
Tomato,Fatigue,C2: No,C2,12,2.16667,1.11464,0.321769
Tomato,Fatigue,C3: Ours1,C3,12,3,1.65145,0.476731
Tomato,Fatigue,C4: Ours2,C4,12,2.58333,1.24011,0.35799
Tomato,Fatigue,C5: KnowNo,C5,12,2.91667,1.72986,0.499368
Tomato,NASA-RTLX,C1: All,C1,12,2.20833,0.838243,0.24198
Tomato,NASA-RTLX,C2: No,C2,12,1.72222,0.644845,0.186151
Tomato,NASA-RTLX,C3: Ours1,C3,12,1.88889,0.679176,0.196061
Tomato,NASA-RTLX,C4: Ours2,C4,12,1.80556,0.506689,0.146269
Tomato,NASA-RTLX,C5: KnowNo,C5,12,1.80556,0.585314,0.168966
Tomato,SART,C1: All,C1,12,3.25833,0.869125,0.250895
Tomato,SART,C2: No,C2,12,3.19167,0.512495,0.147945
Tomato,SART,C3: Ours1,C3,12,3.1,0.823518,0.237729
Tomato,SART,C4: Ours2,C4,12,3.05833,0.575971,0.166268
Tomato,SART,C5: KnowNo,C5,12,3.01667,0.813336,0.23479
