subject,domain,condition,condition_short,metric,value
p001,Waste,C1: All,C1,조작성공률 (%),100
p001,Waste,C1: All,C1,조작시간 (s),13
p001,Waste,C1: All,C1,SAGAT1,1
p001,Waste,C1: All,C1,SAGAT2,0
p001,Waste,C1: All,C1,SAGAT3,0
p001,Waste,C1: All,C1,Fatigue,6
p001,Waste,C1: All,C1,NASA-RTLX,1.83333
p001,Waste,C1: All,C1,SART,3.5
p002,Waste,C1: All,C1,조작성공률 (%),100
p002,Waste,C1: All,C1,조작시간 (s),32
p002,Waste,C1: All,C1,SAGAT1,1
p002,Waste,C1: All,C1,SAGAT2,0
p002,Waste,C1: All,C1,SAGAT3,0
p002,Waste,C1: All,C1,Fatigue,1
p002,Waste,C1: All,C1,NASA-RTLX,1
p002,Waste,C1: All,C1,SART,3.5
p003,Waste,C1: All,C1,조작성공률 (%),100
p003,Waste,C1: All,C1,SAGAT1,1
p003,Waste,C1: All,C1,SAGAT2,0.5
p003,Waste,C1: All,C1,SAGAT3,0.5
p003,Waste,C1: All,C1,Fatigue,2
p003,Waste,C1: All,C1,NASA-RTLX,2.16667
p003,Waste,C1: All,C1,SART,3.3
p004,Waste,C1: All,C1,조작성공률 (%),100
p004,Waste,C1: All,C1,조작시간 (s),28
p004,Waste,C1: All,C1,SAGAT1,0.5
p004,Waste,C1: All,C1,SAGAT2,1
p004,Waste,C1: All,C1,SAGAT3,0.5
p004,Waste,C1: All,C1,Fatigue,5
p004,Waste,C1: All,C1,NASA-RTLX,4
p004,Waste,C1: All,C1,SART,3
p001,Tomato,C1: All,C1,조작성공률 (%),0
p001,Tomato,C1: All,C1,조작시간 (s),51
p001,Tomato,C1: All,C1,SAGAT1,0.5
p001,Tomato,C1: All,C1,SAGAT2,0.5
p001,Tomato,C1: All,C1,SAGAT3,1
p001,Tomato,C1: All,C1,Fatigue,5
p001,Tomato,C1: All,C1,NASA-RTLX,2.5
p001,Tomato,C1: All,C1,SART,3.1
p002,Tomato,C1: All,C1,조작성공률 (%),100
p002,Tomato,C1: All,C1,조작시간 (s),33
p002,Tomato,C1: All,C1,SAGAT1,1
p002,Tomato,C1: All,C1,SAGAT2,0
p002,Tomato,C1: All,C1,SAGAT3,1
p002,Tomato,C1: All,C1,Fatigue,1
p002,Tomato,C1: All,C1,NASA-RTLX,1.16667
p002,Tomato,C1: All,C1,SART,3.9
p003,Tomato,C1: All,C1,조작성공률 (%),100
p003,Tomato,C1: All,C1,SAGAT1,1
p003,Tomato,C1: All,C1,SAGAT2,1
p003,Tomato,C1: All,C1,SAGAT3,1
p003,Tomato,C1: All,C1,Fatigue,2
p003,Tomato,C1: All,C1,NASA-RTLX,2.16667
p003,Tomato,C1: All,C1,SART,3.1
p004,Tomato,C1: All,C1,조작성공률 (%),100
p004,Tomato,C1: All,C1,조작시간 (s),37
p004,Tomato,C1: All,C1,SAGAT1,1
p004,Tomato,C1: All,C1,SAGAT2,0
p004,Tomato,C1: All,C1,SAGAT3,0.5
p004,Tomato,C1: All,C1,Fatigue,5
p004,Tomato,C1: All,C1,NASA-RTLX,4.5
p004,Tomato,C1: All,C1,SART,3.9
p001,Waste,C2: No,C2,조작시간 (s),0
p001,Waste,C2: No,C2,SAGAT1,1
p001,Waste,C2: No,C2,SAGAT2,1
p001,Waste,C2: No,C2,SAGAT3,0
p001,Waste,C2: No,C2,Fatigue,5
p001,Waste,C2: No,C2,NASA-RTLX,2.16667
p001,Waste,C2: No,C2,SART,4.4
p002,Waste,C2: No,C2,조작시간 (s),0
p002,Waste,C2: No,C2,SAGAT1,1
p002,Waste,C2: No,C2,SAGAT2,0
p002,Waste,C2: No,C2,SAGAT3,0.5
p002,Waste,C2: No,C2,Fatigue,2
p002,Waste,C2: No,C2,NASA-RTLX,1
p002,Waste,C2: No,C2,SART,3.3
p003,Waste,C2: No,C2,SAGAT1,1
p003,Waste,C2: No,C2,SAGAT2,0
p003,Waste,C2: No,C2,SAGAT3,1
p003,Waste,C2: No,C2,Fatigue,2
p003,Waste,C2: No,C2,NASA-RTLX,2.16667
p003,Waste,C2: No,C2,SART,3.1
p004,Waste,C2: No,C2,조작시간 (s),1
p004,Waste,C2: No,C2,SAGAT1,1
p004,Waste,C2: No,C2,SAGAT2,0
p004,Waste,C2: No,C2,SAGAT3,1
p004,Waste,C2: No,C2,Fatigue,4
p004,Waste,C2: No,C2,NASA-RTLX,2.33333
p004,Waste,C2: No,C2,SART,3.6
p001,Tomato,C2: No,C2,조작시간 (s),1
p001,Tomato,C2: No,C2,SAGAT1,1
p001,Tomato,C2: No,C2,SAGAT2,0
p001,Tomato,C2: No,C2,SAGAT3,0
p001,Tomato,C2: No,C2,Fatigue,2
p001,Tomato,C2: No,C2,NASA-RTLX,1.33333
p001,Tomato,C2: No,C2,SART,3.4
p002,Tomato,C2: No,C2,조작시간 (s),0
p002,Tomato,C2: No,C2,SAGAT1,1
p002,Tomato,C2: No,C2,SAGAT2,0
p002,Tomato,C2: No,C2,SAGAT3,1
p002,Tomato,C2: No,C2,Fatigue,1
p002,Tomato,C2: No,C2,NASA-RTLX,1
p002,Tomato,C2: No,C2,SART,3.2
p003,Tomato,C2: No,C2,SAGAT1,0.5
p003,Tomato,C2: No,C2,SAGAT2,0.5
p003,Tomato,C2: No,C2,SAGAT3,1
p003,Tomato,C2: No,C2,Fatigue,2
p003,Tomato,C2: No,C2,NASA-RTLX,2.16667
p003,Tomato,C2: No,C2,SART,3
p004,Tomato,C2: No,C2,조작시간 (s),2
p004,Tomato,C2: No,C2,SAGAT1,1
p004,Tomato,C2: No,C2,SAGAT2,0.5
p004,Tomato,C2: No,C2,SAGAT3,1
p004,Tomato,C2: No,C2,Fatigue,3
p004,Tomato,C2: No,C2,NASA-RTLX,2.33333
p004,Tomato,C2: No,C2,SART,3.1
p001,Waste,C3: Ours1,C3,조작성공률 (%),100
p001,Waste,C3: Ours1,C3,조작시간 (s),5
p001,Waste,C3: Ours1,C3,SAGAT1,0.5
p001,Waste,C3: Ours1,C3,SAGAT2,0.5
p001,Waste,C3: Ours1,C3,SAGAT3,0.5
p001,Waste,C3: Ours1,C3,Fatigue,5
p001,Waste,C3: Ours1,C3,NASA-RTLX,1.83333
p001,Waste,C3: Ours1,C3,SART,3.9
p002,Waste,C3: Ours1,C3,조작성공률 (%),100
p002,Waste,C3: Ours1,C3,조작시간 (s),14
p002,Waste,C3: Ours1,C3,SAGAT1,1
p002,Waste,C3: Ours1,C3,SAGAT2,0.5
p002,Waste,C3: Ours1,C3,SAGAT3,1
p002,Waste,C3: Ours1,C3,Fatigue,1
p002,Waste,C3: Ours1,C3,NASA-RTLX,1.33333
p002,Waste,C3: Ours1,C3,SART,3.7
p003,Waste,C3: Ours1,C3,조작성공률 (%),100
p003,Waste,C3: Ours1,C3,SAGAT1,1
p003,Waste,C3: Ours1,C3,SAGAT2,0.5
p003,Waste,C3: Ours1,C3,SAGAT3,0.5
p003,Waste,C3: Ours1,C3,Fatigue,3
p003,Waste,C3: Ours1,C3,NASA-RTLX,1.83333
p003,Waste,C3: Ours1,C3,SART,3.2
p004,Waste,C3: Ours1,C3,조작성공률 (%),100
p004,Waste,C3: Ours1,C3,조작시간 (s),9
p004,Waste,C3: Ours1,C3,SAGAT1,1
p004,Waste,C3: Ours1,C3,SAGAT2,0.5
p004,Waste,C3: Ours1,C3,SAGAT3,0.5
p004,Waste,C3: Ours1,C3,Fatigue,5
p004,Waste,C3: Ours1,C3,NASA-RTLX,3.5
p004,Waste,C3: Ours1,C3,SART,3.4
p001,Tomato,C3: Ours1,C3,조작성공률 (%),100
p001,Tomato,C3: Ours1,C3,조작시간 (s),15
p001,Tomato,C3: Ours1,C3,SAGAT1,1
p001,Tomato,C3: Ours1,C3,SAGAT2,0.5
p001,Tomato,C3: Ours1,C3,SAGAT3,0.5
p001,Tomato,C3: Ours1,C3,Fatigue,5
p001,Tomato,C3: Ours1,C3,NASA-RTLX,2.16667
p001,Tomato,C3: Ours1,C3,SART,3.2
p002,Tomato,C3: Ours1,C3,조작성공률 (%),100
p002,Tomato,C3: Ours1,C3,조작시간 (s),28
p002,Tomato,C3: Ours1,C3,SAGAT1,1
p002,Tomato,C3: Ours1,C3,SAGAT2,0.5
p002,Tomato,C3: Ours1,C3,SAGAT3,1
p002,Tomato,C3: Ours1,C3,Fatigue,1
p002,Tomato,C3: Ours1,C3,NASA-RTLX,1.16667
p002,Tomato,C3: Ours1,C3,SART,3.7
p003,Tomato,C3: Ours1,C3,조작성공률 (%),0
p003,Tomato,C3: Ours1,C3,SAGAT1,0.5
p003,Tomato,C3: Ours1,C3,SAGAT2,0
p003,Tomato,C3: Ours1,C3,SAGAT3,1
p003,Tomato,C3: Ours1,C3,Fatigue,2
p003,Tomato,C3: Ours1,C3,NASA-RTLX,2.16667
p003,Tomato,C3: Ours1,C3,SART,3.2
p004,Tomato,C3: Ours1,C3,조작성공률 (%),100
p004,Tomato,C3: Ours1,C3,조작시간 (s),6
p004,Tomato,C3: Ours1,C3,SAGAT1,1
p004,Tomato,C3: Ours1,C3,SAGAT2,0
p004,Tomato,C3: Ours1,C3,SAGAT3,1
p004,Tomato,C3: Ours1,C3,Fatigue,5
p004,Tomato,C3: Ours1,C3,NASA-RTLX,3.66667
p004,Tomato,C3: Ours1,C3,SART,3.4
p001,Waste,C4: Ours2,C4,조작성공률 (%),100
p001,Waste,C4: Ours2,C4,조작시간 (s),9
p001,Waste,C4: Ours2,C4,SAGAT1,1
p001,Waste,C4: Ours2,C4,SAGAT2,0
p001,Waste,C4: Ours2,C4,SAGAT3,1
p001,Waste,C4: Ours2,C4,Fatigue,5
p001,Waste,C4: Ours2,C4,NASA-RTLX,1.83333
p001,Waste,C4: Ours2,C4,SART,3.6
p002,Waste,C4: Ours2,C4,조작성공률 (%),100
p002,Waste,C4: Ours2,C4,조작시간 (s),13
p002,Waste,C4: Ours2,C4,SAGAT1,1
p002,Waste,C4: Ours2,C4,SAGAT2,0
p002,Waste,C4: Ours2,C4,SAGAT3,0.5
p002,Waste,C4: Ours2,C4,Fatigue,1
p002,Waste,C4: Ours2,C4,NASA-RTLX,1
p002,Waste,C4: Ours2,C4,SART,3.4
p003,Waste,C4: Ours2,C4,조작성공률 (%),100
p003,Waste,C4: Ours2,C4,SAGAT1,1
p003,Waste,C4: Ours2,C4,SAGAT2,0
p003,Waste,C4: Ours2,C4,SAGAT3,1
p003,Waste,C4: Ours2,C4,Fatigue,2
p003,Waste,C4: Ours2,C4,NASA-RTLX,2
p003,Waste,C4: Ours2,C4,SART,3.4
p004,Waste,C4: Ours2,C4,조작성공률 (%),100
p004,Waste,C4: Ours2,C4,조작시간 (s),6
p004,Waste,C4: Ours2,C4,SAGAT1,1
p004,Waste,C4: Ours2,C4,SAGAT2,0
p004,Waste,C4: Ours2,C4,SAGAT3,1
p004,Waste,C4: Ours2,C4,Fatigue,5
p004,Waste,C4: Ours2,C4,NASA-RTLX,3.5
p004,Waste,C4: Ours2,C4,SART,3.1
p001,Tomato,C4: Ours2,C4,조작성공률 (%),0
p001,Tomato,C4: Ours2,C4,조작시간 (s),24
p001,Tomato,C4: Ours2,C4,SAGAT1,1
p001,Tomato,C4: Ours2,C4,SAGAT2,1
p001,Tomato,C4: Ours2,C4,SAGAT3,1
p001,Tomato,C4: Ours2,C4,Fatigue,3
p001,Tomato,C4: Ours2,C4,NASA-RTLX,2.33333
p001,Tomato,C4: Ours2,C4,SART,3.1
p002,Tomato,C4: Ours2,C4,조작성공률 (%),100
p002,Tomato,C4: Ours2,C4,조작시간 (s),12
p002,Tomato,C4: Ours2,C4,SAGAT1,0.5
p002,Tomato,C4: Ours2,C4,SAGAT2,0
p002,Tomato,C4: Ours2,C4,SAGAT3,1
p002,Tomato,C4: Ours2,C4,Fatigue,1
p002,Tomato,C4: Ours2,C4,NASA-RTLX,1
p002,Tomato,C4: Ours2,C4,SART,3.2
p003,Tomato,C4: Ours2,C4,조작성공률 (%),100
p003,Tomato,C4: Ours2,C4,SAGAT1,0.5
p003,Tomato,C4: Ours2,C4,SAGAT2,1
p003,Tomato,C4: Ours2,C4,SAGAT3,1
p003,Tomato,C4: Ours2,C4,Fatigue,3
p003,Tomato,C4: Ours2,C4,NASA-RTLX,2.16667
p003,Tomato,C4: Ours2,C4,SART,3.2
p004,Tomato,C4: Ours2,C4,조작성공률 (%),100
p004,Tomato,C4: Ours2,C4,조작시간 (s),12
p004,Tomato,C4: Ours2,C4,SAGAT1,0.5
p004,Tomato,C4: Ours2,C4,SAGAT2,0.5
p004,Tomato,C4: Ours2,C4,SAGAT3,1
p004,Tomato,C4: Ours2,C4,Fatigue,3
p004,Tomato,C4: Ours2,C4,NASA-RTLX,2.66667
p004,Tomato,C4: Ours2,C4,SART,3
p001,Waste,C5: KnowNo,C5,조작성공률 (%),0
p001,Waste,C5: KnowNo,C5,조작시간 (s),19
p001,Waste,C5: KnowNo,C5,SAGAT1,0.5
p001,Waste,C5: KnowNo,C5,SAGAT2,0.5
p001,Waste,C5: KnowNo,C5,SAGAT3,0.5
p001,Waste,C5: KnowNo,C5,Fatigue,4
p001,Waste,C5: KnowNo,C5,NASA-RTLX,2.66667
p001,Waste,C5: KnowNo,C5,SART,3.8
p002,Waste,C5: KnowNo,C5,조작성공률 (%),0
p002,Waste,C5: KnowNo,C5,조작시간 (s),15
p002,Waste,C5: KnowNo,C5,SAGAT1,1
p002,Waste,C5: KnowNo,C5,SAGAT2,0
p002,Waste,C5: KnowNo,C5,SAGAT3,0.5
p002,Waste,C5: KnowNo,C5,Fatigue,1
p002,Waste,C5: KnowNo,C5,NASA-RTLX,1
p002,Waste,C5: KnowNo,C5,SART,3.4
p003,Waste,C5: KnowNo,C5,조작성공률 (%),100
p003,Waste,C5: KnowNo,C5,SAGAT1,1
p003,Waste,C5: KnowNo,C5,SAGAT2,0
p003,Waste,C5: KnowNo,C5,SAGAT3,0.5
p003,Waste,C5: KnowNo,C5,Fatigue,2
p003,Waste,C5: KnowNo,C5,NASA-RTLX,2.33333
p003,Waste,C5: KnowNo,C5,SART,3.3
p004,Waste,C5: KnowNo,C5,조작성공률 (%),0
p004,Waste,C5: KnowNo,C5,조작시간 (s),17
p004,Waste,C5: KnowNo,C5,SAGAT1,1
p004,Waste,C5: KnowNo,C5,SAGAT2,0
p004,Waste,C5: KnowNo,C5,SAGAT3,1
p004,Waste,C5: KnowNo,C5,Fatigue,5
p004,Waste,C5: KnowNo,C5,NASA-RTLX,4.16667
p004,Waste,C5: KnowNo,C5,SART,2.9
p001,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p001,Tomato,C5: KnowNo,C5,조작시간 (s),60
p001,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p001,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p001,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p001,Tomato,C5: KnowNo,C5,Fatigue,5
p001,Tomato,C5: KnowNo,C5,NASA-RTLX,2.16667
p001,Tomato,C5: KnowNo,C5,SART,3.4
p002,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p002,Tomato,C5: KnowNo,C5,조작시간 (s),27
p002,Tomato,C5: KnowNo,C5,SAGAT1,1
p002,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p002,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p002,Tomato,C5: KnowNo,C5,Fatigue,1
p002,Tomato,C5: KnowNo,C5,NASA-RTLX,1.5
p002,Tomato,C5: KnowNo,C5,SART,3.3
p003,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p003,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p003,Tomato,C5: KnowNo,C5,SAGAT2,1
p003,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p003,Tomato,C5: KnowNo,C5,Fatigue,3
p003,Tomato,C5: KnowNo,C5,NASA-RTLX,1.83333
p003,Tomato,C5: KnowNo,C5,SART,3.2
p004,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p004,Tomato,C5: KnowNo,C5,조작시간 (s),5
p004,Tomato,C5: KnowNo,C5,SAGAT1,1
p004,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p004,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p004,Tomato,C5: KnowNo,C5,Fatigue,5
p004,Tomato,C5: KnowNo,C5,NASA-RTLX,3.33333
p004,Tomato,C5: KnowNo,C5,SART,3.3
p005,Waste,C1: All,C1,조작성공률 (%),100
p005,Waste,C1: All,C1,조작시간 (s),31
p005,Waste,C1: All,C1,SAGAT1,1
p005,Waste,C1: All,C1,SAGAT2,0
p005,Waste,C1: All,C1,SAGAT3,0.5
p005,Waste,C1: All,C1,Fatigue,2
p005,Waste,C1: All,C1,NASA-RTLX,1.5
p005,Waste,C1: All,C1,SART,4.2
p006,Waste,C1: All,C1,조작성공률 (%),100
p006,Waste,C1: All,C1,조작시간 (s),14
p006,Waste,C1: All,C1,SAGAT1,1
p006,Waste,C1: All,C1,SAGAT2,1
p006,Waste,C1: All,C1,SAGAT3,0.5
p006,Waste,C1: All,C1,Fatigue,1
p006,Waste,C1: All,C1,NASA-RTLX,2.83333
p006,Waste,C1: All,C1,SART,1.6
p007,Waste,C1: All,C1,조작성공률 (%),100
p007,Waste,C1: All,C1,SAGAT1,1
p007,Waste,C1: All,C1,SAGAT2,1
p007,Waste,C1: All,C1,SAGAT3,0.5
p007,Waste,C1: All,C1,Fatigue,1
p007,Waste,C1: All,C1,NASA-RTLX,1
p007,Waste,C1: All,C1,SART,2.1
p008,Waste,C1: All,C1,조작성공률 (%),100
p008,Waste,C1: All,C1,조작시간 (s),34
p008,Waste,C1: All,C1,SAGAT1,0.5
p008,Waste,C1: All,C1,SAGAT2,0
p008,Waste,C1: All,C1,SAGAT3,0.5
p008,Waste,C1: All,C1,Fatigue,1
p008,Waste,C1: All,C1,NASA-RTLX,2.33333
p008,Waste,C1: All,C1,SART,3.3
p005,Tomato,C1: All,C1,조작성공률 (%),0
p005,Tomato,C1: All,C1,조작시간 (s),15
p005,Tomato,C1: All,C1,SAGAT1,1
p005,Tomato,C1: All,C1,SAGAT2,0.5
p005,Tomato,C1: All,C1,SAGAT3,0.5
p005,Tomato,C1: All,C1,Fatigue,3
p005,Tomato,C1: All,C1,NASA-RTLX,1.66667
p005,Tomato,C1: All,C1,SART,4.3
p006,Tomato,C1: All,C1,조작성공률 (%),100
p006,Tomato,C1: All,C1,조작시간 (s),32
p006,Tomato,C1: All,C1,SAGAT1,1
p006,Tomato,C1: All,C1,SAGAT2,0
p006,Tomato,C1: All,C1,SAGAT3,1
p006,Tomato,C1: All,C1,Fatigue,1
p006,Tomato,C1: All,C1,NASA-RTLX,1.83333
p006,Tomato,C1: All,C1,SART,1.7
p007,Tomato,C1: All,C1,조작성공률 (%),100
p007,Tomato,C1: All,C1,SAGAT1,0.5
p007,Tomato,C1: All,C1,SAGAT2,1
p007,Tomato,C1: All,C1,SAGAT3,0.5
p007,Tomato,C1: All,C1,Fatigue,1
p007,Tomato,C1: All,C1,NASA-RTLX,1.33333
p007,Tomato,C1: All,C1,SART,2
p008,Tomato,C1: All,C1,조작성공률 (%),100
p008,Tomato,C1: All,C1,조작시간 (s),39
p008,Tomato,C1: All,C1,SAGAT1,1
p008,Tomato,C1: All,C1,SAGAT2,0.5
p008,Tomato,C1: All,C1,SAGAT3,0.5
p008,Tomato,C1: All,C1,Fatigue,3
p008,Tomato,C1: All,C1,NASA-RTLX,2.33333
p008,Tomato,C1: All,C1,SART,4.4
p005,Waste,C2: No,C2,조작시간 (s),1
p005,Waste,C2: No,C2,SAGAT1,1
p005,Waste,C2: No,C2,SAGAT2,0
p005,Waste,C2: No,C2,SAGAT3,1
p005,Waste,C2: No,C2,Fatigue,1
p005,Waste,C2: No,C2,NASA-RTLX,1.5
p005,Waste,C2: No,C2,SART,3.6
p006,Waste,C2: No,C2,조작시간 (s),1
p006,Waste,C2: No,C2,SAGAT1,1
p006,Waste,C2: No,C2,SAGAT2,0
p006,Waste,C2: No,C2,SAGAT3,1
p006,Waste,C2: No,C2,Fatigue,1
p006,Waste,C2: No,C2,NASA-RTLX,1.16667
p006,Waste,C2: No,C2,SART,2.5
p007,Waste,C2: No,C2,SAGAT1,1
p007,Waste,C2: No,C2,SAGAT2,1
p007,Waste,C2: No,C2,SAGAT3,0.5
p007,Waste,C2: No,C2,Fatigue,2
p007,Waste,C2: No,C2,NASA-RTLX,1
p007,Waste,C2: No,C2,SART,2.2
p008,Waste,C2: No,C2,조작시간 (s),0
p008,Waste,C2: No,C2,SAGAT1,1
p008,Waste,C2: No,C2,SAGAT2,0
p008,Waste,C2: No,C2,SAGAT3,1
p008,Waste,C2: No,C2,Fatigue,6
p008,Waste,C2: No,C2,NASA-RTLX,2.5
p008,Waste,C2: No,C2,SART,3.4
p005,Tomato,C2: No,C2,조작시간 (s),0
p005,Tomato,C2: No,C2,SAGAT1,0.5
p005,Tomato,C2: No,C2,SAGAT2,0.5
p005,Tomato,C2: No,C2,SAGAT3,0.5
p005,Tomato,C2: No,C2,Fatigue,1
p005,Tomato,C2: No,C2,NASA-RTLX,1.33333
p005,Tomato,C2: No,C2,SART,4
p006,Tomato,C2: No,C2,조작시간 (s),0
p006,Tomato,C2: No,C2,SAGAT1,0.5
p006,Tomato,C2: No,C2,SAGAT2,0
p006,Tomato,C2: No,C2,SAGAT3,1
p006,Tomato,C2: No,C2,Fatigue,1
p006,Tomato,C2: No,C2,NASA-RTLX,1.5
p006,Tomato,C2: No,C2,SART,3.6
p007,Tomato,C2: No,C2,SAGAT1,1
p007,Tomato,C2: No,C2,SAGAT2,0.5
p007,Tomato,C2: No,C2,SAGAT3,1
p007,Tomato,C2: No,C2,Fatigue,2
p007,Tomato,C2: No,C2,NASA-RTLX,1.16667
p007,Tomato,C2: No,C2,SART,2
p008,Tomato,C2: No,C2,조작시간 (s),14
p008,Tomato,C2: No,C2,SAGAT1,0.5
p008,Tomato,C2: No,C2,SAGAT2,0
p008,Tomato,C2: No,C2,SAGAT3,0.5
p008,Tomato,C2: No,C2,Fatigue,3
p008,Tomato,C2: No,C2,NASA-RTLX,3.16667
p008,Tomato,C2: No,C2,SART,3.2
p005,Waste,C3: Ours1,C3,조작성공률 (%),100
p005,Waste,C3: Ours1,C3,조작시간 (s),10
p005,Waste,C3: Ours1,C3,SAGAT1,1
p005,Waste,C3: Ours1,C3,SAGAT2,0.5
p005,Waste,C3: Ours1,C3,SAGAT3,0.5
p005,Waste,C3: Ours1,C3,Fatigue,3
p005,Waste,C3: Ours1,C3,NASA-RTLX,1.66667
p005,Waste,C3: Ours1,C3,SART,4.1
p006,Waste,C3: Ours1,C3,조작성공률 (%),100
p006,Waste,C3: Ours1,C3,조작시간 (s),18
p006,Waste,C3: Ours1,C3,SAGAT1,1
p006,Waste,C3: Ours1,C3,SAGAT2,0.5
p006,Waste,C3: Ours1,C3,SAGAT3,1
p006,Waste,C3: Ours1,C3,Fatigue,2
p006,Waste,C3: Ours1,C3,NASA-RTLX,1.5
p006,Waste,C3: Ours1,C3,SART,2.8
p007,Waste,C3: Ours1,C3,조작성공률 (%),100
p007,Waste,C3: Ours1,C3,SAGAT1,1
p007,Waste,C3: Ours1,C3,SAGAT2,1
p007,Waste,C3: Ours1,C3,SAGAT3,1
p007,Waste,C3: Ours1,C3,Fatigue,1
p007,Waste,C3: Ours1,C3,NASA-RTLX,1
p007,Waste,C3: Ours1,C3,SART,2
p008,Waste,C3: Ours1,C3,조작성공률 (%),0
p008,Waste,C3: Ours1,C3,조작시간 (s),10
p008,Waste,C3: Ours1,C3,SAGAT1,0.5
p008,Waste,C3: Ours1,C3,SAGAT2,0.5
p008,Waste,C3: Ours1,C3,SAGAT3,0.5
p008,Waste,C3: Ours1,C3,Fatigue,3
p008,Waste,C3: Ours1,C3,NASA-RTLX,4
p008,Waste,C3: Ours1,C3,SART,3.8
p005,Tomato,C3: Ours1,C3,조작성공률 (%),100
p005,Tomato,C3: Ours1,C3,조작시간 (s),34
p005,Tomato,C3: Ours1,C3,SAGAT1,0.5
p005,Tomato,C3: Ours1,C3,SAGAT2,0.5
p005,Tomato,C3: Ours1,C3,SAGAT3,1
p005,Tomato,C3: Ours1,C3,Fatigue,2
p005,Tomato,C3: Ours1,C3,NASA-RTLX,1.5
p005,Tomato,C3: Ours1,C3,SART,4.2
p006,Tomato,C3: Ours1,C3,조작성공률 (%),100
