figure,domain,condition,condition_short,comparison,level_a,level_b,metric_a,metric_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b
figures/waste_c1_sagat_levels.png,Waste,C1: All,C1,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,yes,*,Wilcoxon signed-rank exact,12,10,3,0.0117188,0.0351562,0.890909,0.65,0.75
figures/waste_c1_sagat_levels.png,Waste,C1: All,C1,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,yes,**,Wilcoxon signed-rank exact,12,10,0,0.00195312,0.00585938,1,0.65,0.5
figures/waste_c1_sagat_levels.png,Waste,C1: All,C1,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,6,10.5,1,1,0,0,0
figures/waste_c2_sagat_levels.png,Waste,C2: No,C2,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,yes,*,Wilcoxon signed-rank exact,12,9,0,0.00390625,0.0117188,1,0.944444,1
figures/waste_c2_sagat_levels.png,Waste,C2: No,C2,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,5,2.5,0.3125,0.9375,0.666667,0.4,0.5
figures/waste_c2_sagat_levels.png,Waste,C2: No,C2,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,11,9.5,0.0390625,0.117188,-0.712121,-0.590909,-1
figures/waste_c3_sagat_levels.png,Waste,C3: Ours1,C3,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,7,7,0.359375,1,0.5,0.285714,0.5
figures/waste_c3_sagat_levels.png,Waste,C3: Ours1,C3,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,6,9,1,1,0.142857,0.0833333,0.5
figures/waste_c3_sagat_levels.png,Waste,C3: Ours1,C3,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,5,3,0.375,1,-0.6,-0.3,-0.5
figures/waste_c4_sagat_levels.png,Waste,C4: Ours2,C4,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,yes,**,Wilcoxon signed-rank exact,12,12,0,0.000488281,0.00146484,1,0.791667,1
figures/waste_c4_sagat_levels.png,Waste,C4: Ours2,C4,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,7,3.5,0.109375,0.328125,0.75,0.428571,0.5
figures/waste_c4_sagat_levels.png,Waste,C4: Ours2,C4,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,yes,*,Wilcoxon signed-rank exact,12,11,4,0.0078125,0.0234375,-0.878788,-0.590909,-0.5
figures/waste_c5_sagat_levels.png,Waste,C5: KnowNo,C5,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,9,9,0.117188,0.351562,0.6,0.388889,0.5
figures/waste_c5_sagat_levels.png,Waste,C5: KnowNo,C5,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,7,7,0.359375,1,0.5,0.285714,0.5
figures/waste_c5_sagat_levels.png,Waste,C5: KnowNo,C5,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,5,4.5,0.5625,1,-0.4,-0.3,-0.5
figures/tomato_c1_sagat_levels.png,Tomato,C1: All,C1,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,9,3.5,0.0273438,0.0820312,0.844444,0.555556,0.5
figures/tomato_c1_sagat_levels.png,Tomato,C1: All,C1,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,7,7,0.359375,1,0.5,0.285714,0.5
figures/tomato_c1_sagat_levels.png,Tomato,C1: All,C1,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,8,7,0.171875,0.515625,-0.611111,-0.375,-0.5
figures/tomato_c2_sagat_levels.png,Tomato,C2: No,C2,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,yes,*,Wilcoxon signed-rank exact,12,8,0,0.0078125,0.0234375,1,0.6875,0.5
figures/tomato_c2_sagat_levels.png,Tomato,C2: No,C2,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,5,5,0.75,1,-0.333333,-0.2,-0.5
figures/tomato_c2_sagat_levels.png,Tomato,C2: No,C2,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,yes,*,Wilcoxon signed-rank exact,12,9,0,0.00390625,0.0117188,-1,-0.722222,-0.5
figures/tomato_c3_sagat_levels.png,Tomato,C3: Ours1,C3,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,6,3,0.1875,0.5625,0.714286,0.416667,0.5
figures/tomato_c3_sagat_levels.png,Tomato,C3: Ours1,C3,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,7,4,0.125,0.375,-0.714286,-0.357143,-0.5
figures/tomato_c3_sagat_levels.png,Tomato,C3: Ours1,C3,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,9,3.5,0.0273438,0.0820312,-0.844444,-0.555556,-0.5
figures/tomato_c4_sagat_levels.png,Tomato,C4: Ours2,C4,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,9,12,0.257812,0.773438,0.466667,0.277778,0.5
figures/tomato_c4_sagat_levels.png,Tomato,C4: Ours2,C4,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,yes,*,Wilcoxon signed-rank exact,12,7,0,0.015625,0.046875,-1,-0.5,-0.5
figures/tomato_c4_sagat_levels.png,Tomato,C4: Ours2,C4,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,9,2.5,0.0195312,0.0585938,-0.888889,-0.666667,-1
figures/tomato_c5_sagat_levels.png,Tomato,C5: KnowNo,C5,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,no,,Wilcoxon signed-rank exact,12,5,3,0.375,1,0.6,0.3,0.5
figures/tomato_c5_sagat_levels.png,Tomato,C5: KnowNo,C5,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,no,,Wilcoxon signed-rank exact,12,4,5,1,1,0,0,0
figures/tomato_c5_sagat_levels.png,Tomato,C5: KnowNo,C5,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,no,,Wilcoxon signed-rank exact,12,5,3,0.375,1,-0.6,-0.3,-0.5
