,,,,,,,,,,,,,,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6월 3일,,,,,,,,,,,,,,,,,,,,,,
p004,,,,,,p001,,,,,,,,,,,,,,,,
R2(s3),시간 종류,시작 시간,종료 시간,소요시간,,T1(s1),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:09:51,0:12:18,0:02:27,,,조작,0:12:45,0:16:35,0:03:50,,,,,,,,,,,,
,설문,0:12:25,0:14:31,0:02:06,,,설문,0:16:38,0:18:02,0:01:24,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:18:08,0:18:16,0:00:08,,,,,,,,,,,,
,설문,0:17:45,0:18:00,0:00:15,,,설문,0:18:23,0:19:27,0:01:04,,,,,,,,,,,,
,총 조작 시간,,,0:02:27,,,총 조작 시간,,,0:03:58,,,,,,,,,,,,
,총 설문 시간,,,0:02:21,,,총 설문 시간,,,0:02:28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R1(s4),시간 종류,시작 시간,종료 시간,소요시간,,T4(s4),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:14:42,0:17:37,0:02:55,,,조작,0:19:38,0:22:23,0:02:45,,,,,,,,,,,,
,설문,0:17:45,0:19:26,0:01:41,,,설문,0:22:30,0:22:56,0:00:26,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:23:03,0:24:21,0:01:18,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,0:24:27,0:25:16,0:00:49,,,,,,,,,,,,
,총 조작 시간,,,0:02:55,,,총 조작 시간,,,0:04:03,,,,,,,,,,,,
,총 설문 시간,,,0:01:41,,,총 설문 시간,,,0:01:15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R4(s2),시간 종류,시작 시간,종료 시간,소요시간,,T5(s5),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:19:40,0:21:20,0:01:40,,,조작,0:28:05,0:31:54,0:03:49,,,,,,,,,,,,
,설문,0:21:27,0:21:58,0:00:31,,,설문,0:32:01,0:32:27,0:00:26,,,,,,,,,,,,
,조작,0:22:07,0:22:54,0:00:47,,,조작,0:32:30,0:32:38,0:00:08,,,,,,,,,,,,
,설문,0:23:02,0:24:06,0:01:04,,,설문,0:32:40,0:33:22,0:00:42,,,,,,,,,,,,
,총 조작 시간,,,0:02:27,,,총 조작 시간,,,0:03:57,,,,,,,,,,,,
,총 설문 시간,,,0:01:35,,,총 설문 시간,,,0:01:08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R3(s5),시간 종류,시작 시간,종료 시간,소요시간,,T3(s2),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:24:20,0:26:57,0:02:37,,,조작,0:33:30,0:36:23,0:02:53,,,,,,,,,,,,
,설문,0:27:04,0:28:18,0:01:14,,,설문,0:36:31,0:37:03,0:00:32,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:37:08,0:37:40,0:00:32,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,0:37:45,0:38:17,0:00:32,,,,,,,,,,,,
,총 조작 시간,,,0:02:37,,,총 조작 시간,,,0:03:25,,,,,,,,,,,,
,총 설문 시간,,,0:01:14,,,총 설문 시간,,,0:01:04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R5(s1),시간 종류,시작 시간,종료 시간,소요시간,,T2(s3),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:28:29,0:30:02,0:01:33,,,조작,0:38:35,0:42:13,0:03:38,,,,,,,,,,,,
,설문,0:30:09,0:30:48,0:00:39,,,설문,0:42:21,0:42:54,0:00:33,,,,,,,,,,,,
,조작,0:30:57,0:32:03,0:01:06,,,조작,0:42:57,0:43:06,0:00:09,,,,,,,,,,,,
,설문,0:32:11,0:33:03,0:00:52,,,설문,0:43:08,0:43:46,0:00:38,,,,,,,,,,,,
,총 조작 시간,,,0:02:39,,,총 조작 시간,,,0:03:47,,,,,,,,,,,,
,총 설문 시간,,,0:01:31,,,총 설문 시간,,,0:01:11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T1(s5),시간 종류,시작 시간,종료 시간,소요시간,,R5(s4),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:39:03,0:42:21,0:03:18,,,조작,0:55:03,0:56:45,0:01:42,,,,,,,,,,,,
,설문,0:43:46,0:44:45,0:00:59,,,설문,0:56:50,0:57:31,0:00:41,,,,,,,,,,,,
,조작,0:44:49,0:45:05,0:00:16,,,조작,0:57:36,0:58:40,0:01:04,,,,,,,,,,,,
,설문,0:45:06,0:46:08,0:01:02,,,설문,0:58:47,0:59:30,0:00:43,,,,,,,,,,,,
,총 조작 시간,,,0:03:34,,,총 조작 시간,,,0:02:46,,,,,,,,,,,,
,총 설문 시간,,,0:02:01,,,총 설문 시간,,,0:01:24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T2(s2),시간 종류,시작 시간,종료 시간,소요시간,,R2(s1),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:46:19,0:49:31,0:03:12,,,조작,0:59:38,1:02:00,0:02:22,,,,,,,,,,,,
,설문,0:49:36,0:51:04,0:01:28,,,설문,1:02:07,1:03:32,0:01:25,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,,,0:00:00,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:12,,,총 조작 시간,,,0:02:22,,,,,,,,,,,,
,총 설문 시간,,,0:01:28,,,총 설문 시간,,,0:01:25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T3(s1),시간 종류,시작 시간,종료 시간,소요시간,,R1(s5),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:51:17,0:54:24,0:03:07,,,조작,1:03:41,1:06:22,0:02:41,,,,,,,,,,,,
,설문,0:54:28,0:54:56,0:00:28,,,설문,1:07:08,1:08:31,0:01:23,,,,,,,,,,,,
,조작,0:55:00,0:55:06,0:00:06,,,조작,,,0:00:00,,,,,,,,,,,,
,설문,0:55:08,0:56:04,0:00:56,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:13,,,총 조작 시간,,,0:02:41,,,,,,,,,,,,
,총 설문 시간,,,0:01:24,,,총 설문 시간,,,0:01:23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T5(s3),시간 종류,시작 시간,종료 시간,소요시간,,R3(s2),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:56:16,0:59:44,0:03:28,,,조작,1:08:44,1:10:42,0:01:58,,,,,,,,,,,,
,설문,0:59:51,1:00:12,0:00:21,,,설문,1:10:49,1:11:57,0:01:08,,,,,,,,,,,,
,조작,1:00:18,1:00:41,0:00:23,,,조작,1:12:09,1:12:37,0:00:28,,,,,,,,,,,,
,설문,1:00:45,1:01:38,0:00:53,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:51,,,총 조작 시간,,,0:02:26,,,,,,,,,,,,
,총 설문 시간,,,0:01:14,,,총 설문 시간,,,0:01:08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T4(s4),시간 종류,시작 시간,종료 시간,소요시간,,R4(s3),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,1:01:47,1:04:18,0:02:31,,,조작,1:12:57,1:14:44,0:01:47,,,,,,,,,,,,
,설문,1:04:25,1:04:59,0:00:34,,,설문,1:14:50,1:15:21,0:00:31,,,,,,,,,,,,
,조작,1:05:06,1:06:26,0:01:20,,,조작,1:15:28,1:16:16,0:00:48,,,,,,,,,,,,
,설문,1:06:32,1:07:24,0:00:52,,,설문,1:16:21,1:17:01,0:00:40,,,,,,,,,,,,
,총 조작 시간,,,0:03:51,,,총 조작 시간,,,0:02:35,,,,,,,,,,,,
,총 설문 시간,,,0:01:26,,,총 설문 시간,,,0:01:11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6월 4일,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
p010,,,,,,p008,,,,,,p012,,,,,,,,,,
R4(s4),시간 종류,시작 시간,종료 시간,소요시간,,R1(s3),시간 종류,시작 시간,종료 시간,소요시간,,R3(s3),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:09:03,0:11:07,0:02:04,,,조작,0:09:44,0:12:44,0:03:00,,,조작,0:10:30,0:12:38,0:02:08,,,,,,
,설문,0:11:20,0:13:38,0:02:18,,,설문,0:12:54,0:15:21,0:02:27,,,설문,0:12:46,0:14:09,0:01:23,,,,,,
,조작,0:13:44,0:14:18,0:00:34,,,조작,,,0:00:00,,,조작,0:14:12,0:14:47,0:00:35,,,,,,
,설문,0:14:27,0:16:21,0:01:54,,,설문,,,0:00:00,,,설문,0:14:50,0:17:18,0:02:28,,,,,,
,총 조작 시간,,,0:02:38,,,총 조작 시간,,,0:03:00,,,총 조작 시간,,,0:02:43,,,,,,
,총 설문 시간,,,0:04:12,,,총 설문 시간,,,0:02:27,,,총 설문 시간,,,0:03:51,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R2(s2),시간 종류,시작 시간,종료 시간,소요시간,,R4(s1),시간 종류,시작 시간,종료 시간,소요시간,,R5(s5),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:16:30,0:18:50,0:02:20,,,조작,0:15:39,0:17:53,0:02:14,,,조작,0:17:29,0:20:11,0:02:42,,,,,,
,설문,0:18:58,0:21:10,0:02:12,,,설문,0:18:00,0:19:09,0:01:09,,,설문,0:20:20,0:21:39,0:01:19,,,,,,
,조작,,,0:00:00,,,조작,0:19:11,0:19:28,0:00:17,,,조작,0:21:43,0:22:16,0:00:33,,,,,,
,설문,,,0:00:00,,,설문,0:19:31,0:20:36,0:01:05,,,설문,0:22:21,0:23:33,0:01:12,,,,,,
,총 조작 시간,,,0:02:20,,,총 조작 시간,,,0:02:31,,,총 조작 시간,,,0:03:15,,,,,,
,총 설문 시간,,,0:02:12,,,총 설문 시간,,,0:02:14,,,총 설문 시간,,,0:02:31,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R5(s5),시간 종류,시작 시간,종료 시간,소요시간,,R3(s4),시간 종류,시작 시간,종료 시간,소요시간,,R4(s4),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:21:20,0:24:22,0:03:02,,,조작,0:20:47,0:22:18,0:01:31,,,조작,0:23:46,0:25:43,0:01:57,,,,,,
,설문,0:24:30,0:25:18,0:00:48,,,설문,0:22:23,0:23:11,0:00:48,,,설문,0:25:51,0:26:55,0:01:04,,,,,,
,조작,0:25:24,0:25:56,0:00:32,,,조작,0:23:17,0:24:23,0:01:06,,,조작,0:26:59,0:27:38,0:00:39,,,,,,
,설문,0:26:04,0:28:01,0:01:57,,,설문,0:24:31,0:25:34,0:01:03,,,설문,0:27:40,0:28:48,0:01:08,,,,,,
,총 조작 시간,,,0:03:34,,,총 조작 시간,,,0:02:37,,,총 조작 시간,,,0:02:36,,,,,,
,총 설문 시간,,,0:02:45,,,총 설문 시간,,,0:01:51,,,총 설문 시간,,,0:02:12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R1(s1),시간 종류,시작 시간,종료 시간,소요시간,,R5(s2),시간 종류,시작 시간,종료 시간,소요시간,,R1(s1),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:34:53,0:37:31,0:02:38,,,조작,0:25:44,0:27:25,0:01:41,,,조작,0:29:32,0:32:09,0:02:37,,,,,,
,설문,0:37:48,0:38:28,0:00:40,,,설문,0:27:35,0:28:18,0:00:43,,,설문,0:32:23,0:34:19,0:01:56,,,,,,
,조작,0:38:30,0:38:38,0:00:08,,,조작,0:28:25,0:29:30,0:01:05,,,조작,,,0:00:00,,,,,,
,설문,0:38:39,0:40:06,0:01:27,,,설문,0:29:37,0:30:28,0:00:51,,,설문,,,0:00:00,,,,,,
,총 조작 시간,,,0:02:46,,,총 조작 시간,,,0:02:46,,,총 조작 시간,,,0:02:37,,,,,,
,총 설문 시간,,,0:02:07,,,총 설문 시간,,,0:01:34,,,총 설문 시간,,,0:01:56,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R3(s4),시간 종류,시작 시간,종료 시간,소요시간,,R2(s5),시간 종류,시작 시간,종료 시간,소요시간,,R2(s2),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:40:15,0:41:40,0:01:25,,,조작,0:30:51,0:33:19,0:02:28,,,조작,0:34:29,0:36:52,0:02:23,,,,,,
,설문,0:41:47,0:42:15,0:00:28,,,설문,0:33:28,0:35:21,0:01:53,,,설문,0:36:58,0:38:25,0:01:27,,,,,,
,조작,0:42:23,0:43:35,0:01:12,,,조작,,,0:00:00,,,조작,,,0:00:00,,,,,,
,설문,0:43:43,0:44:46,0:01:03,,,설문,,,0:00:00,,,설문,,,0:00:00,,,,,,
,총 조작 시간,,,0:02:37,,,총 조작 시간,,,0:02:28,,,총 조작 시간,,,0:02:23,,,,,,
,총 설문 시간,,,0:01:31,,,총 설문 시간,,,0:01:53,,,총 설문 시간,,,0:01:27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T1(s2),시간 종류,시작 시간,종료 시간,소요시간,,T5(s1),시간 종류,시작 시간,종료 시간,소요시간,,T2(s4),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:51:28,0:55:00,0:03:32,,,조작,0:42:04,0:44:46,0:02:42,,,조작,0:44:30,0:47:59,0:03:29,,,,,,
,설문,0:55:07,0:55:39,0:00:32,,,설문,0:44:57,0:45:22,0:00:25,,,설문,0:48:08,0:49:22,0:01:14,,,,,,
,조작,0:55:41,0:56:01,0:00:20,,,조작,0:45:28,0:46:29,0:01:01,,,조작,0:49:26,0:49:39,0:00:13,,,,,,
,설문,0:56:03,0:57:16,0:01:13,,,설문,0:46:35,0:47:26,0:00:51,,,설문,0:49:46,0:50:39,0:00:53,,,,,,
,총 조작 시간,,,0:03:52,,,총 조작 시간,,,0:03:43,,,총 조작 시간,,,0:03:42,,,,,,
,총 설문 시간,,,0:01:45,,,총 설문 시간,,,0:01:16,,,총 설문 시간,,,0:02:07,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T5(s1),시간 종류,시작 시간,종료 시간,소요시간,,T2(s5),시간 종류,시작 시간,종료 시간,소요시간,,T3(s3),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,0:57:25,0:59:51,0:02:26,,,조작,0:47:38,0:50:34,0:02:56,,,조작,0:50:50,0:54:09,0:03:19,,,,,,
,설문,1:00:01,1:00:29,0:00:28,,,설문,0:50:41,0:51:43,0:01:02,,,설문,0:54:15,0:54:57,0:00:42,,,,,,
,조작,1:00:35,1:01:35,0:01:00,,,조작,0:51:47,0:52:02,0:00:15,,,조작,0:55:00,0:56:07,0:01:07,,,,,,
,설문,1:01:43,1:03:17,0:01:34,,,설문,0:52:05,0:52:52,0:00:47,,,설문,0:56:12,0:57:10,0:00:58,,,,,,
,총 조작 시간,,,0:03:26,,,총 조작 시간,,,0:03:11,,,총 조작 시간,,,0:04:26,,,,,,
,총 설문 시간,,,0:02:02,,,총 설문 시간,,,0:01:49,,,총 설문 시간,,,0:01:40,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T3(s5),시간 종류,시작 시간,종료 시간,소요시간,,T1(s4),시간 종류,시작 시간,종료 시간,소요시간,,T5(s2),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,1:03:26,1:06:14,0:02:48,,,조작,0:53:01,0:56:58,0:03:57,,,조작,0:57:20,0:59:28,0:02:08,,,,,,
,설문,1:06:24,1:06:49,0:00:25,,,설문,0:57:03,0:57:59,0:00:56,,,설문,0:59:36,1:00:53,0:01:17,,,,,,
,조작,1:06:53,1:07:20,0:00:27,,,조작,0:58:00,0:58:21,0:00:21,,,조작,1:00:56,1:02:12,0:01:16,,,,,,
,설문,1:07:23,1:08:26,0:01:03,,,설문,0:58:23,0:59:11,0:00:48,,,설문,1:02:16,1:03:02,0:00:46,,,,,,
,총 조작 시간,,,0:03:15,,,총 조작 시간,,,0:04:18,,,총 조작 시간,,,0:03:24,,,,,,
,총 설문 시간,,,0:01:28,,,총 설문 시간,,,0:01:44,,,총 설문 시간,,,0:02:03,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T4(s4),시간 종류,시작 시간,종료 시간,소요시간,,T3(s2),시간 종류,시작 시간,종료 시간,소요시간,,T4(s5),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,1:11:14,1:13:56,0:02:42,,,조작,0:59:22,1:02:20,0:02:58,,,조작,1:03:12,1:05:28,0:02:16,,,,,,
,설문,1:14:09,1:14:33,0:00:24,,,설문,1:02:30,1:03:03,0:00:33,,,설문,1:05:34,1:06:07,0:00:33,,,,,,
,조작,1:14:41,1:15:55,0:01:14,,,조작,1:03:06,1:03:38,0:00:32,,,조작,1:06:09,1:07:10,0:01:01,,,,,,
,설문,1:16:00,1:17:05,0:01:05,,,설문,1:03:41,1:04:23,0:00:42,,,설문,1:07:13,1:08:02,0:00:49,,,,,,
,총 조작 시간,,,0:03:56,,,총 조작 시간,,,0:03:30,,,총 조작 시간,,,0:03:17,,,,,,
,총 설문 시간,,,0:01:29,,,총 설문 시간,,,0:01:15,,,총 설문 시간,,,0:01:22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T2(s3),시간 종류,시작 시간,종료 시간,소요시간,,T4(s3),시간 종류,시작 시간,종료 시간,소요시간,,T1(s1),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,1:17:13,1:20:02,0:02:49,,,조작,1:04:32,1:08:20,0:03:48,,,조작,1:08:12,1:11:35,0:03:23,,,,,,
,설문,1:20:59,1:21:20,0:00:21,,,설문,1:08:25,1:08:52,0:00:27,,,설문,1:11:42,1:12:31,0:00:49,,,,,,
,조작,1:21:23,1:21:33,0:00:10,,,조작,1:08:54,1:09:06,0:00:12,,,조작,1:12:35,1:12:51,0:00:16,,,,,,
,설문,1:21:34,1:22:24,0:00:50,,,설문,1:09:10,1:09:50,0:00:40,,,설문,1:12:58,1:13:59,0:01:01,,,,,,
,총 조작 시간,,,0:02:59,,,총 조작 시간,,,0:04:00,,,총 조작 시간,,,0:03:39,,,,,,
,총 설문 시간,,,0:01:11,,,총 설문 시간,,,0:01:07,,,총 설문 시간,,,0:01:50,,,,,,